
MODEL: _unknown

MODEL: account.account
amount | type=monetary | required=False | readonly=False | store=True | compute=None | related=None | relation=None
currency_id | type=many2one | required=False | readonly=True | store=True | compute=<bound method Field._compute_related of 'account.accrued.orders.wizard.currency_id'> | related=company_id.currency_id | relation=res.currency
account_id | type=many2one | required=True | readonly=False | store=True | compute=None | related=None | relation=account.account
preview_data | type=text | required=False | readonly=True | store=False | compute=_compute_preview_data | related=None | relation=None
display_amount | type=boolean | required=False | readonly=True | store=False | compute=_compute_display_amount | related=None | relation=None
id | type=integer | required=False | readonly=True | store=True | compute=None | related=None | relation=None
display_name | type=char | required=False | readonly=True | store=False | compute=_compute_display_name | related=None | relation=None
create_uid | type=many2one | required=False | readonly=True | store=True | compute=None | related=None | relation=res.users
create_date | type=datetime | required=False | readonly=True | store=True | compute=None | related=None | relation=None
write_uid | type=many2one | required=False | readonly=True | store=True | compute=None | related=None | relation=res.users
write_date | type=datetime | required=False | readonly=True | store=True | compute=None | related=None | relation=None

MODEL: account.aged.partner.balance.report.handler

MODEL: account.aged.payable.report.handler

MODEL: account.aged.receivable.report.handler

MODEL: account.analytic.account
message_is_follower | type=boolean | required=False | readonly=True | store=False | compute=_compute_message_is_follower | related=None | relation=None
message_follower_ids | type=one2many | required=False | readonly=False | store=True | compute=None | related=None | relation=mail.followers
message_partner_ids | type=many2many | required=False | readonly=False | store=False | compute=_compute_message_partner_ids | related=None | relation=res.partner
message_ids | type=one2many | required=False | readonly=False | store=True | compute=None | related=None | relation=mail.message
has_message | type=boolean | required=False | readonly=True | store=False | compute=_compute_has_message | related=None | relation=None
message_needaction | type=boolean | required=False | readonly=True | store=False | compute=_compute_message_needaction | related=None | relation=None
message_needaction_counter | type=integer | required=False | readonly=True | store=False | compute=_compute_message_needaction | related=None | relation=None
message_has_error | type=boolean | required=False | readonly=True | store=False | compute=_compute_message_has_error | related=None | relation=None
message_has_error_counter | type=integer | required=False | readonly=True | store=False | compute=_compute_message_has_error | related=None | relation=None
message_attachment_count | type=integer | required=False | readonly=True | store=False | compute=_compute_message_attachment_count | related=None | relation=None
rating_ids | type=one2many | required=False | readonly=False | store=True | compute=None | related=None | relation=rating.rating
website_message_ids | type=one2many | required=False | readonly=False | store=True | compute=None | related=None | relation=mail.message
message_has_sms_error | type=boolean | required=False | readonly=True | store=False | compute=_compute_message_has_sms_error | related=None | relation=None
name | type=char | required=True | readonly=False | store=True | compute=None | related=None | relation=None
code | type=char | required=False | readonly=False | store=True | compute=None | related=None | relation=None
active | type=boolean | required=False | readonly=False | store=True | compute=None | related=None | relation=None
plan_id | type=many2one | required=True | readonly=False | store=True | compute=None | related=None | relation=account.analytic.plan
root_plan_id | type=many2one | required=False | readonly=True | store=True | compute=<bound method Field._compute_related of 'account.analytic.account.root_plan_id'> | related=plan_id.root_id | relation=account.analytic.plan
color | type=integer | required=False | readonly=True | store=False | compute=<bound method Field._compute_related of 'account.analytic.account.color'> | related=plan_id.color | relation=None
line_ids | type=one2many | required=False | readonly=False | store=True | compute=None | related=None | relation=account.analytic.line
company_id | type=many2one | required=False | readonly=False | store=True | compute=None | related=None | relation=res.company
partner_id | type=many2one | required=False | readonly=False | store=True | compute=None | related=None | relation=res.partner
balance | type=monetary | required=False | readonly=True | store=False | compute=_compute_debit_credit_balance | related=None | relation=None
debit | type=monetary | required=False | readonly=True | store=False | compute=_compute_debit_credit_balance | related=None | relation=None
credit | type=monetary | required=False | readonly=True | store=False | compute=_compute_debit_credit_balance | related=None | relation=None
currency_id | type=many2one | required=False | readonly=True | store=False | compute=<bound method Field._compute_related of 'account.analytic.account.currency_id'> | related=company_id.currency_id | relation=res.currency
id | type=integer | required=False | readonly=True | store=True | compute=None | related=None | relation=None
display_name | type=char | required=False | readonly=True | store=False | compute=_compute_display_name | related=None | relation=None
create_uid | type=many2one | required=False | readonly=True | store=True | compute=None | related=None | relation=res.users
create_date | type=datetime | required=False | readonly=True | store=True | compute=None | related=None | relation=None
write_uid | type=many2one | required=False | readonly=True | store=True | compute=None | related=None | relation=res.users
write_date | type=datetime | required=False | readonly=True | store=True | compute=None | related=None | relation=None
invoice_count | type=integer | required=False | readonly=True | store=False | compute=_compute_invoice_count | related=None | relation=None
vendor_bill_count | type=integer | required=False | readonly=True | store=False | compute=_compute_vendor_bill_count | related=None | relation=None
project_ids | type=one2many | required=False | readonly=False | store=True | compute=None | related=None | relation=project.project
project_count | type=integer | required=False | readonly=True | store=False | compute=_compute_project_count | related=None | relation=None
purchase_order_count | type=integer | required=False | readonly=True | store=False | compute=_compute_purchase_order_count | related=None | relation=None
production_ids | type=many2many | required=False | readonly=False | store=True | compute=None | related=None | relation=mrp.production
production_count | type=integer | required=False | readonly=True | store=False | compute=_compute_production_count | related=None | relation=None
bom_ids | type=many2many | required=False | readonly=False | store=True | compute=None | related=None | relation=mrp.bom
bom_count | type=integer | required=False | readonly=True | store=False | compute=_compute_bom_count | related=None | relation=None
workcenter_ids | type=many2many | required=False | readonly=False | store=True | compute=None | related=None | relation=mrp.workcenter
workorder_count | type=integer | required=False | readonly=True | store=False | compute=_compute_workorder_count | related=None | relation=None
budget_line_ids | type=one2many | required=False | readonly=False | store=True | compute=None | related=None | relation=budget.line

MODEL: account.analytic.applicability
analytic_plan_id | type=many2one | required=False | readonly=False | store=True | compute=None | related=None | relation=account.analytic.plan
business_domain | type=selection | required=True | readonly=False | store=True | compute=None | related=None | relation=None
applicability | type=selection | required=True | readonly=False | store=True | compute=None | related=None | relation=None
company_id | type=many2one | required=False | readonly=False | store=True | compute=None | related=None | relation=res.company
id | type=integer | required=False | readonly=True | store=True | compute=None | related=None | relation=None
display_name | type=char | required=False | readonly=True | store=False | compute=_compute_display_name | related=None | relation=None
create_uid | type=many2one | required=False | readonly=True | store=True | compute=None | related=None | relation=res.users
create_date | type=datetime | required=False | readonly=True | store=True | compute=None | related=None | relation=None
write_uid | type=many2one | required=False | readonly=True | store=True | compute=None | related=None | relation=res.users
write_date | type=datetime | required=False | readonly=True | store=True | compute=None | related=None | relation=None
account_prefix | type=char | required=False | readonly=False | store=True | compute=None | related=None | relation=None
product_categ_id | type=many2one | required=False | readonly=False | store=True | compute=None | related=None | relation=product.category
display_account_prefix | type=boolean | required=False | readonly=True | store=False | compute=_compute_display_account_prefix | related=None | relation=None
account_prefix_placeholder | type=char | required=False | readonly=True | store=False | compute=_compute_prefix_placeholder | related=None | relation=None

MODEL: account.analytic.distribution.model
analytic_distribution | type=json | required=False | readonly=False | store=True | compute=_compute_analytic_distribution | related=None | relation=None
analytic_precision | type=integer | required=False | readonly=False | store=False | compute=None | related=None | relation=None
distribution_analytic_account_ids | type=many2many | required=False | readonly=True | store=False | compute=_compute_distribution_analytic_account_ids | related=None | relation=account.analytic.account
sequence | type=integer | required=False | readonly=False | store=True | compute=None | related=None | relation=None
partner_id | type=many2one | required=False | readonly=False | store=True | compute=None | related=None | relation=res.partner
partner_category_id | type=many2one | required=False | readonly=False | store=True | compute=None | related=None | relation=res.partner.category
company_id | type=many2one | required=False | readonly=False | store=True | compute=None | related=None | relation=res.company
id | type=integer | required=False | readonly=True | store=True | compute=None | related=None | relation=None
display_name | type=char | required=False | readonly=True | store=False | compute=_compute_display_name | related=None | relation=None
create_uid | type=many2one | required=False | readonly=True | store=True | compute=None | related=None | relation=res.users
create_date | type=datetime | required=False | readonly=True | store=True | compute=None | related=None | relation=None
